,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t)
33,-0.064404555,-0.039797023,0.12787345,-0.16657826,0.053470213,0.31231463,0.04262382,0.10572183,0.21020873,0.06277965,0.09756323,0.10640746,0.047835447,0.007917611,-0.4679595,0.09906264,0.07648398,-0.18131316,-0.07774532,0.35624298,-0.057492997
34,0.027044088,-0.10258821,-0.098381355,0.08092463,0.13479802,0.102917716,-0.26500073,0.14424866,0.14320442,0.07764623,0.011002493,0.23024839,0.35717237,0.104863055,-0.24591368,0.13523614,-0.39074096,-0.103885576,-0.08161433,0.17071575,-0.075662516
35,0.37759358,-0.06306318,-0.0480206,0.20406893,-0.02057661,-0.20387535,0.07774265,-0.06825966,0.10573335,0.08353627,-0.1599172,0.07755063,0.21092111,0.15439776,0.08269951,-0.26958388,-0.15625337,0.27360716,0.013333626,0.17855151,0.1228685
36,0.3591806,0.0042753974,-0.014621419,-0.0044851205,-0.3036402,-0.19526136,0.09945302,-0.04968021,0.047468815,-0.20998657,-0.34400153,-0.46785733,0.2702653,-0.30068073,0.38082936,-0.23074654,0.42925042,0.24321304,0.12447246,0.0723628,0.19565158
37,0.23424467,0.21479803,0.2417813,-0.034085095,-0.28582287,0.11973872,-0.35722473,0.543217,-0.11694096,-0.2756394,-0.16523488,-0.12086026,-0.09584773,-0.42654452,0.24436326,-0.573322,0.33651662,0.051783934,0.13509023,0.014172269,-0.092884794
38,0.06035179,0.31378824,-0.057135113,0.07163592,-0.07504003,-0.05985432,-0.8446025,0.56420845,-0.07912132,-0.14595255,-0.0007947292,0.14327717,-0.076520324,-0.30417767,0.516006,-0.2958073,-0.28741598,0.11844622,0.21708527,-0.59309334,-0.043912966
39,-0.016820235,0.3460933,-0.024290165,0.26582116,0.12748206,-0.28392848,-0.12470744,-0.13116597,0.0463212,0.07265674,0.09720396,0.1458584,-0.13845518,-0.088451624,0.64940184,-0.28517812,-0.12116527,0.46638364,-0.079441465,-0.48773855,0.110319816
40,-0.012476761,0.3501994,-0.059535574,-0.10985454,0.13757259,0.122297496,0.12694776,-0.3828377,-0.107144274,-0.05512698,0.0049042143,-0.24505945,-0.23651695,-0.25124425,0.19790407,0.11704524,0.72004724,-0.009573078,-0.015216014,-0.12005448,0.26403534
41,-0.41874674,0.26348814,0.170632,-0.18932618,0.112022184,0.57251924,-0.22010666,0.20517965,-0.2048903,-0.03514643,0.21836883,0.24518605,-0.24627538,-0.25770324,-0.4512665,0.25877994,0.2958619,-0.2333785,-0.027362715,0.11644758,-0.09631401
42,-0.47113085,0.17211752,-0.19731677,-0.0032800082,0.47966957,0.33047926,-0.5351331,0.27278242,-0.08180397,0.24577132,0.47557977,0.5575023,-0.09705869,0.23382922,-0.3868078,0.27220377,-0.59636056,-0.32100207,-0.18522431,-0.18859576,-0.047225293
43,-0.18935867,-0.031376082,-0.16354217,0.18548986,0.4888123,0.028504828,0.30838332,-0.5615169,0.12323882,0.39467132,0.2676804,0.29421082,0.11260379,0.54236954,-0.19736604,0.4553592,-0.4456979,0.12591808,-0.36751708,0.05712159,0.18368256
44,0.19071054,-0.18656473,-0.053611647,-0.12765822,0.15470502,0.17647775,0.8882047,-0.718937,0.041092742,0.1429684,-0.12960574,-0.34369707,0.17584576,0.28384364,-0.474051,0.4714975,0.45900592,-0.11371154,-0.015863478,0.6521118,0.27322045
45,0.17935017,-0.29487267,0.2529818,-0.34955755,-0.21407491,0.30514455,0.22321595,0.27047032,0.043916583,-0.102249354,-0.17125484,-0.10809189,0.21900532,-0.083928324,-0.6106181,0.087357536,0.34727407,-0.2647955,0.10192694,0.7098598,-0.16199863
46,0.15496318,-0.2772179,-0.066684514,0.04346542,-0.13512242,0.01330141,-0.6049391,0.7112842,0.15589665,-0.084726825,-0.11312293,0.32263976,0.27287194,0.027061872,-0.040651403,-0.24454348,-0.57811373,-0.103169605,0.09571902,0.045194596,-0.21796331
