,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t)
35,-0.017788408,0.11319035,0.032736007,0.119562455,0.025376696,0.19182429,-0.03717296,0.14476614,0.11878491,0.00952487,0.017121688,0.04053335,0.038081154,-0.06969289,0.06926512,-0.036836207,-0.022778803,-0.08262596,0.042910594,0.007900613,0.020763766,0.0940347,-0.048312813,0.08740718,0.09013371,0.033194505
36,-0.02250162,-0.030545179,-0.008635304,0.042698964,0.07655679,0.020047013,-0.016015703,0.12274985,0.042905346,0.03176421,0.23443928,0.047881845,0.05403258,-0.028834157,0.123477146,-0.100332096,-0.06886368,0.01308053,-0.030752208,-0.0020206482,-0.03527358,0.1080036,0.022198632,0.03972386,-0.00048303138,0.083692834
37,-0.008809948,-0.019264936,-0.08657519,-0.08875183,-0.0029429924,0.028092481,-0.028573802,0.14900258,0.0896021,0.033406366,0.06846304,0.035010215,0.14090686,0.056479156,-0.049635395,0.014901589,0.034002643,0.068577185,-0.033637486,0.017105533,-0.0935839,0.050985027,0.024718747,0.012483044,0.1132357,-0.0015198016
38,0.002000749,-0.010860517,0.036865912,-0.07622946,-0.008790772,0.13655342,-0.02489234,0.0059629264,-0.016064212,0.04431519,-0.014002764,0.0024218145,0.0101998495,0.13081723,-0.06019672,0.024741685,0.07846808,-0.05372628,0.012788331,-0.011498412,-0.026948268,0.068830304,0.01983441,0.0047648028,0.07452224,0.076471455
39,-0.027341744,-0.02605726,-0.02241331,-0.037541807,0.06682965,0.07052797,-0.036708158,0.071321815,0.00095104426,0.02365385,-0.005128624,0.048399903,0.0350488,0.042795815,0.06742346,-0.070800655,-0.006954752,0.0029496606,0.15149114,0.022768699,-0.046150737,0.043914255,0.034107693,0.018470643,0.09863501,-0.011500338
40,-0.012679476,-0.043681234,0.05428684,-0.19989596,-0.009696762,0.033338398,-0.030573545,0.08058785,-0.0928859,0.031447276,-0.014931712,0.066861875,-0.01392507,0.058467504,0.009848183,0.01712104,0.015078774,-0.048913114,0.109142646,-0.0981831,-0.04424954,0.054666355,0.05428059,0.047012374,0.10163875,0.008342352
41,-0.016107365,0.09809962,-0.005469017,-0.00835669,-0.008788422,0.09928109,-0.1129539,0.13125753,-0.03498341,-0.00341703,-0.12751734,0.007880591,0.040851794,-0.0025562402,-0.008862609,0.024648678,0.015251089,-0.0025828793,0.1528815,-0.0318458,0.06655007,0.045536898,0.020891828,0.025364235,0.14794871,0.017931173
42,-0.007426694,-0.03144352,0.012641595,-0.07116888,0.051570863,0.096575916,-0.10333089,0.06701937,0.00050757616,0.039784748,0.036336828,0.024922296,0.011638804,0.0009449562,0.13501856,-0.033589438,0.029442538,-0.09206843,0.070209295,-0.07618438,0.0243371,0.109863356,0.027316011,0.047249578,0.03159237,0.030004805
43,-0.06287233,0.004178751,-0.008694904,-0.072419375,-0.010308963,-0.00044562132,-0.13687089,0.20197871,-0.004616335,0.0072494694,-0.0010664463,0.044976804,0.06244815,-0.049676683,0.051793836,-0.0066757053,0.03424383,0.01347854,0.06076917,0.0072740167,-0.053130664,0.05667612,0.05452154,0.08383122,0.05656396,0.033361703
44,-0.047562018,0.022907227,0.025574407,-0.020356845,0.07051453,0.113530785,-0.0586391,0.10211756,0.29094446,0.007895924,0.022202576,0.027381223,0.014434563,-0.021301534,0.010563366,0.05075617,0.08449988,-0.04577425,0.018219728,-0.024976123,-0.02835688,0.16497347,-0.026671303,0.044246357,0.025506511,0.029593412
