,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t)
27,0.07402501,-0.015681358,0.13941592,-0.022362787,0.05195498,0.04813268,0.05371707,0.042326394,-0.020005219,0.010343857,0.1616176,-0.06583263,0.05901602,0.027168568,0.13142139,0.13660899,0.027234577,0.051862303,0.017192438,-0.02534456,-0.05563563,-0.026533417,-0.031008586,0.02311683,-0.014694365,0.08170501,0.08641296,0.05712027,-0.062463485,-0.001965537,0.066324666,0.0766648,0.04496043,-0.06215771,0.12567984
28,0.08826929,0.022467056,0.08168784,-0.051335614,0.10541605,0.024066947,0.12482324,-0.005721799,0.055361442,-0.043223985,-0.019141281,-0.001593763,0.015871566,0.057475775,0.06536036,0.020762533,0.047848187,0.11665895,0.17255679,-0.033618897,-0.1262905,-0.0279546,0.055769194,0.10424504,0.010339297,-0.11961138,0.113031745,0.11847408,0.005975602,-0.06571224,0.07486478,0.1279284,0.013829265,-0.14586633,0.1203032
29,0.060671594,0.014746029,-0.048680037,-0.06219438,0.11732387,0.013695898,0.111953884,0.035005655,0.13002652,0.06791841,0.046627175,-0.040784597,0.047361247,0.11161339,0.034444723,0.17833099,0.0484334,0.2699306,-0.00271588,-0.01684766,-0.026424803,-0.03146062,0.11745359,-0.052127168,-0.0014227256,-0.15189345,0.03701607,0.17308213,-0.011757737,0.014685167,0.071912915,-0.08709586,-0.06444822,0.031348906,0.09290363
30,0.08655741,0.018169962,-0.14071974,-0.013015375,0.22125062,0.007840333,0.16354138,0.03351436,-0.06188235,0.05847818,0.08110481,-0.053231575,0.07352725,0.065655045,0.09078124,0.07464804,0.21537578,0.08967404,0.055518933,-0.059239466,0.044575483,-0.02569639,5.2815303e-05,0.15600663,0.05736389,0.034558058,0.058381315,0.0720005,0.020020034,-0.0636276,0.07754556,-0.02376341,0.025135767,-0.08687769,-0.016830446
31,0.036061123,-0.008451657,-0.07144889,-0.051059045,0.058965124,0.0059808865,0.12129014,0.02956057,0.09338191,0.099506244,0.04522315,-0.004782267,0.02601126,0.06042228,0.033531576,0.050939985,0.13176808,0.15378655,-0.0093007535,0.0059345937,-0.033232767,-0.07906431,0.08714726,0.0479424,0.030656096,0.030252244,0.14050248,0.20639496,0.0083707385,-0.02097639,0.07438069,-0.21019909,-0.049681954,0.0032180883,0.19679607
32,0.10329957,-0.0024580648,-0.04288355,-0.009318072,0.0904859,0.017429143,0.30048072,0.10825636,-0.055162884,0.023616426,0.0738105,-0.042487934,0.07205832,-0.034654368,0.045731515,0.053164035,0.1424205,0.10889756,0.012487648,0.018524121,-0.046515115,-0.012665493,-0.015646204,0.004231761,0.08763528,0.027442228,0.078007445,0.08411733,-0.08569759,0.02625672,0.12406514,-0.02918611,0.020791728,-0.070930414,0.052982345
33,0.07812956,-0.008847605,-0.045902506,-0.049358696,0.07324079,0.05487579,0.11212545,-0.0280653,0.010938221,0.021899328,-0.0073015615,-0.14902492,0.043641645,0.096950896,0.10708065,0.16485117,0.03888473,0.0553898,-0.022613209,0.019150183,-0.11578668,-0.030796286,0.017950462,0.048448045,0.02085783,0.088677816,0.19513269,0.16096301,-0.009721498,-0.017838096,0.018690744,-0.05020493,-0.044483315,-0.16080438,0.24122259
34,0.08094055,-0.09001264,-0.07956463,-0.081919715,-0.01956227,0.03743705,0.11840793,0.055973127,0.018833695,-0.043256916,0.042450354,-0.050025277,0.07006121,0.030535132,0.015825722,0.052082017,0.04125422,0.07356478,0.00029936992,-0.0153104905,-0.14603463,-0.011152528,0.035507962,0.060414627,0.017054942,-0.05968936,0.15473379,0.15939093,-0.051753983,-0.055919502,0.1612246,-0.14184242,-0.073461376,-0.13436851,0.13168284
35,0.15435395,-0.021481998,-0.041281402,-0.040401787,0.007734868,0.027697554,0.04901106,0.042022392,-0.07323198,-0.07587085,0.052143358,-0.045443468,0.11707163,0.023673065,0.15656237,0.04132943,0.03905355,0.15110046,-0.016661253,0.0063241944,-0.10824373,-0.049597733,0.0151727395,0.033308383,-0.007184415,0.022543415,0.050530106,0.16208914,-0.0451328,-0.03138931,0.14437915,-0.09629916,0.0071616657,-0.12220094,0.113875106
36,0.081091285,-0.0020191818,-0.12536328,-0.044942632,0.083809,0.027027685,0.1720667,0.07212236,-0.038606815,-0.074581,-0.02687815,-0.023779452,0.057886224,0.19292024,0.13673961,0.05833509,0.09423734,0.008974995,0.018773997,0.015807714,-0.17050505,0.02889138,0.04930653,0.09675243,-0.037165925,-0.02698376,0.05588037,0.14923228,-0.014752506,-0.02453389,0.12567997,-0.21715733,-0.08424677,-0.030702494,0.2024014
37,0.07465466,0.028324403,-0.055153497,-0.059634835,0.05717802,0.019492576,0.09330086,0.035906345,-0.021447852,0.07597816,0.02671813,-0.08050984,0.10049518,0.062307473,0.070216306,0.20834413,0.049032465,0.13645202,-0.019540995,0.057766348,-0.091343895,-0.08245383,0.012603216,0.062160775,0.029194385,0.027607027,0.08225775,0.2446239,-0.004669443,-0.019523656,0.09605082,-0.052476577,0.09944378,-0.13628092,0.14052808
38,0.12316107,-0.072308496,-0.098074615,-0.10400494,0.037216008,0.01225154,0.106603645,0.054746762,0.029089078,-0.036127936,0.096506886,-0.045358602,0.096680485,0.06636763,0.0526523,0.05989508,0.051812418,0.074504465,0.051651686,-0.01704971,-0.14986958,0.051347785,0.05053706,0.09102453,0.042030893,-0.052380774,0.103057355,0.11309357,-0.111665085,-0.057215266,0.12602793,-0.15847248,-0.06894638,-0.057946518,0.12643658
39,0.056701962,0.0846353,0.023147948,-0.06461266,0.09217907,0.024396416,0.09069458,0.008545274,-0.066127986,-0.061272115,0.0060554403,0.113680854,0.0823425,0.06809016,0.1453472,0.04077537,0.06708157,0.08732679,0.008264326,0.0004312062,-0.06599128,-0.04719052,0.041895688,0.072468475,0.0364108,0.0222882,0.091365665,0.14671041,0.006404942,-0.023482574,0.083995596,-0.085858464,0.058373474,-0.15154079,0.038884707
